,Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Latitude,Longitude,Opening_Date_Clean,Type_Main,Speed_Mph,Height_Ft,Inversions_Clean,Gforce_Clean,No
877,T3 (roller coaster),Kentucky Kingdom,Operating,Vekoma,2015,38.1941,-85.747,4/8/1995,Steel,49.7,,5,,877
878,Tempesto,Busch Gardens Williamsburg,Operating,Premier Rides,2015,37.2347,-76.6421,4/25/2015,Steel,62,,1,,878
879,The C? Chulainn Coaster,Tayto Park,Operating,The Gravity Group,2015,53.5427,-6.4628,6/6/2015,Wood,55.9,105,0,,879
880,The Oath of K?rnan,Hansa-Park,Operating,Gerstlauer,2015,54.0769,10.78,7/1/2015,Steel,78.9,239.5,1,5,880
881,Turbulence (roller coaster),Adventureland (New York),Operating,Mack Rides,2015,40.7525,-73.4197,5/22/2015,Steel,40,,0,,881
882,Twisted Colossus,Six Flags Magic Mountain,Operating,Rocky Mountain Construction,2015,34.4278,-118.5975,5/23/2015,Steel,57,,2,,882
883,Wicked Cyclone,Six Flags New England,Operating,Rocky Mountain Construction,2015,42.0403,-72.6156,5/24/2015,Steel,55,,3,,883
884,ZDT's Amusement Park,ZDT's Amusement Park,Operating,The Gravity Group,2015,,,10/17/2015,Wood,40.4,,0,,884
885,Cobra's Curse,Busch Gardens Tampa Bay,Operating,Mack Rides,2016,,,6/17/2016,Steel,40,,0,,885
886,Flying Aces (roller coaster),Ferrari World Abu Dhabi,Operating,Intamin,2016,,,2/24/2016,Steel,74.6,206.7,1,5,886
887,The Flying Dinosaur,Universal Studios Japan,Operating,Bolliger & Mabillard,2016,34.6634,135.4305,3/18/2016,Steel,62,,5,,887
888,Formu?a (Energylandia),Energylandia,Operating,Vekoma,2016,,,6/25/2016,Steel,49.2,81,3,3.8,888
889,The Joker (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Operating,Rocky Mountain Construction,2016,,,5/29/2016,Other,53,,3,,889
890,Lightning Rod (roller coaster),Dollywood,Operating,Rocky Mountain Construction,2016,,,6/13/2016,Steel,73,,0,3.5,890
891,Lost Gravity (roller coaster),Walibi Holland,Operating,Mack Rides,2016,52.4424,5.7663,3/24/2016,Steel,54.1,105,2,4.3,891
892,Mako (roller coaster),SeaWorld Orlando,Operating,Bolliger & Mabillard,2016,28.4095,-81.4591,6/10/2016,Steel,73,,0,,892
893,The Monster (Adventureland),Adventureland (Iowa),Operating,Gerstlauer,2016,41.6518,-93.5014,6/4/2016,Steel,65.2,133.2,5,,893
894,Pulsar (roller coaster),Walibi Belgium,Operating,Mack Rides,2016,50.6988,4.5903,6/4/2016,Steel,62.8,147.6,0,,894
895,Raik,Phantasialand,Operating,Vekoma,2016,50.7996,6.8828,6/30/2016,Steel,38.5,,0,,895
896,Recoil (Wonderla Hyderabad),Other,,Vekoma,2016,,,,Steel,47,,3,,896
897,Taron (roller coaster),Phantasialand,Operating,Intamin,2016,50.7996,6.8828,6/30/2016,Steel,72.7,98.4,0,,897
898,The Joker (Six Flags Great Adventure),Other,,S&S – Sansei Technologies,2016,,,,Steel,38,,6,,898
899,Tron Lightcycle Power Run,Other,,Vekoma,2016,,,6/16/2016,Steel,59.3,,0,4,899
900,Valravn (roller coaster),Cedar Point,Operating,Bolliger & Mabillard,2016,41.4813,-82.684,5/7/2016,Steel,75,,3,,900
901,Wildfire (Kolm?rden Wildlife Park),Kolm?rden Wildlife Park,Operating,Rocky Mountain Construction,2016,58.6653,16.4664,6/28/2016,Wood,71.5,183.7,3,4,901
902,Dawson Duel (roller coaster),Other,Operating,Wiegand,2017,50.8483,2.9475,5/5/2017,Steel,24.9,,0,,902
903,DC Rivals HyperCoaster,Warner Bros. Movie World,Operating,Mack Rides,2017,-27.908,153.314,9/22/2017,Steel,71.5,202.1,0,4.3,903
904,Gold Rush (Slagharen),Attractiepark Slagharen,Operating,Gerstlauer,2017,52.6244,6.5619,4/13/2017,Steel,59,,2,,904
905,Hydrus (roller coaster),Casino Pier,Operating,Gerstlauer,2017,39.9428,-74.0721,5/26/2017,Steel,45,,3,,905
906,InvadR,Busch Gardens Williamsburg,Operating,Great Coasters International,2017,37.2325,-76.6486,4/7/2017,Wood,48,,0,,906
907,Lech Coaster,Legendia,Operating,Vekoma,2017,,,7/1/2017,Steel,59,131.2,3,,907
908,Mine Blower,Fun Spot America (Kissimmee),Operating,The Gravity Group,2017,,,6/23/2017,Wood,48.5,,1,,908
909,Mystic Timbers,Kings Island,Operating,Great Coasters International,2017,,,4/15/2017,Wood,53,,0,,909
910,Patriot (California's Great America),California's Great America,Operating,Bolliger & Mabillard,2017,37.3967,-121.9732,3/9/1991,Steel,45,,2,,910
911,Pégase Express,Parc Astérix,Operating,Gerstlauer,2017,49.1336,2.5737,6/11/2017,Steel,32.3,,0,,911
912,Red Force (roller coaster),Ferrari Land,Operating,Intamin,2017,,,4/7/2017,Steel,111.8,367.5,0,,912
913,Star Trek: Operation Enterprise,Movie Park Germany,Operating,Mack Rides,2017,51.6223,6.9729,6/14/2017,Steel,55.9,131.2,3,,913
914,Star Wars Hyperspace Mountain,Disneyland Park (Paris),Operating,Vekoma,2017,48.8741,2.7793,5/7/2017,Steel,44,,3,,914
915,The Joker (Six Flags Great America),Other,,S&S – Sansei Technologies,2017,,,,Steel,38,,6,,915
916,The Joker (Six Flags New England),Other,,S&S – Sansei Technologies,2017,,,,Steel,38,,6,,916
917,The Joker (Six Flags Over Texas),Other,,S&S – Sansei Technologies,2017,,,,Steel,38,,6,,917
918,Wave Breaker: The Rescue Coaster,SeaWorld San Antonio,Operating,Intamin,2017,29.4553,-98.6961,6/16/2017,Steel,44,,0,,918
919,Adrenaline Peak,Oaks Amusement Park,Operating,Gerstlauer,2018,45.4716,-122.6623,3/24/2018,Steel,45,,3,,919
920,Electric Eel (roller coaster),SeaWorld San Diego,Operating,Premier Rides,2018,32.765,-117.224,5/10/2018,Steel,62,,1,,920
921,F?nix (roller coaster),Toverland,Operating,Bolliger & Mabillard,2018,51.3997,5.985,7/7/2018,Steel,59,,3,5,921
922,HangTime (roller coaster),Knott's Berry Farm,Operating,Gerstlauer,2018,33.8448,-118.0015,5/18/2018,Steel,57,,5,,922
923,Hyperion (roller coaster),Energylandia,Operating,Intamin,2018,,,7/14/2018,Steel,88.2,252.6,1,4.8,923
924,Icon (roller coaster),Blackpool Pleasure Beach,Operating,Mack Rides,2018,53.7903,-3.0556,5/25/2018,Steel,52.8,,1,4.3,924
925,Merlin's Mayhem,Dutch Wonderland,Operating,S&S – Sansei Technologies,2018,40.0287,-76.2186,4/28/2018,Steel,,,0,,925
926,RailBlazer,California's Great America,Operating,Rocky Mountain Construction,2018,37.3951,-121.9737,6/14/2018,Steel,52,,3,,926
927,Slinky Dog Dash,Disney's Hollywood Studios,Operating,Mack Rides,2018,28.3594,-81.5607,6/30/2018,Steel,40,,0,,927
928,Steel Vengeance,Cedar Point,Operating,Rocky Mountain Construction,2018,41.4862,-82.6933,5/5/2018,Steel,74,,4,,928
929,Tantrum (roller coaster),Six Flags Darien Lake,Operating,Gerstlauer,2018,42.9294,-78.3849,5/25/2018,Steel,52.8,,3,,929
930,Tiki-Waka (roller coaster),Walibi Belgium,Operating,Gerstlauer,2018,50.6971,4.5871,4/7/2018,Steel,34.2,,0,,930
931,Time Traveler (roller coaster),Silver Dollar City,Operating,Mack Rides,2018,36.669,-93.3377,3/14/2018,Steel,50.3,,3,,931
932,Twisted Timbers,Kings Dominion,Operating,Rocky Mountain Construction,2018,,,3/24/2018,Steel,54,,3,,932
933,Valkyria (roller coaster),Liseberg,Operating,Bolliger & Mabillard,2018,57.6932,11.9953,8/10/2018,Steel,65.2,,3,,933
934,Wicker Man (roller coaster),Alton Towers,Operating,Great Coasters International,2018,52.9889,-1.8886,3/20/2018,Wood,43.6,,0,,934
935,Wonder Woman Coaster,Six Flags Mexico,Operating,S&S – Sansei Technologies,2018,19.2935,-99.2058,6/1/2018,Steel,38,,6,,935
936,Wonder Woman Golden Lasso Coaster,Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,2018,29.5951,-98.6085,5/12/2018,Steel,52,,3,,936
937,Copperhead Strike,Carowinds,Operating,Mack Rides GmbH & Co KG,2019,35.1011,-80.9426,3/23/2019,Steel,50,,5,,937
938,Desmo Race,Other,Operating,Maurer AG,2019,44.3389,12.2636,7/25/2019,Steel,49.7,,0,1.2,938
939,Dragonflier,Dollywood,Operating,Vekoma,2019,35.7977,-83.5312,5/10/2019,Steel,46.6,,0,3.5,939
940,Dynamite (Freizeitpark Plohn),Freizeitpark Plohn,,Mack Rides,2019,,,5/18/2019,Steel,62.1,144.4,3,,940
941,Fury (roller coaster),Bobbejaanland,Operating,Gerstlauer,2019,51.1993,4.909,6/24/2019,Steel,66.2,141.1,2,,941
942,Hagrid's Magical Creatures Motorbike Adventure,Universal's Islands of Adventure,Operating,Intamin,2019,28.4298,-81.5859,6/13/2019,Steel,50,,0,,942
943,Hurricane (Fun Spot America),"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",Operating,,2019,28.3303,-81.5147,,Other,,,0,,943
944,Kentucky Flyer,Kentucky Kingdom,Operating,Gravitykraft Corporation,2019,38.1943,-85.7443,4/28/2019,Wood,35,,0,,944
945,Maxx Force,Six Flags Great America,Operating,S&S - Sansei Technologies,2019,,,7/4/2019,Steel,78,,5,4.5,945
946,Mystic (roller coaster),Walibi Rhône-Alpes,Operating,Gerstlauer,2019,45.62,5.5715,5/30/2019,Steel,52.8,,3,,946
947,Nickelodeon Slime Streak,Nickelodeon Universe,Operating,Chance Rides,2019,40.8061,-74.0706,10/25/2019,Steel,37,,0,2.5,947
948,Panic Coaster – Back Daaan,Tokyo Dome City Attractions,Operating,Gerstlauer,2019,,,3/23/2019,Steel,18.6,,0,,948
949,Runaway Tram,Morey's Piers,Operating,Zierer,2019,38.9894,-74.8034,8/9/2019,Steel,28.6,,0,,949
950,Steel Curtain (roller coaster),Kennywood,Operating,S&S - Sansei Technologies,2019,40.3892,-79.8665,7/13/2019,Steel,75,,9,,950
951,Taiga (roller coaster),Linnanm?ki,Operating,Intamin,2019,60.1885,24.9391,6/18/2019,Steel,65.9,,4,5,951
952,Tigris (roller coaster),Busch Gardens Tampa,Operating,Premier Rides,2019,28.0379,-82.4249,4/19/2019,Steel,62,,1,,952
953,TMNT Shellraiser,Nickelodeon Universe,Operating,Gerstlauer,2019,40.8066,-74.0712,10/25/2019,Steel,62.1,,7,,953
954,Yukon Striker,Canada's Wonderland,Operating,Bolliger & Mabillard,2019,43.8402,-79.543,5/3/2019,Steel,80.8,223.1,4,,954
955,Zadra (roller coaster),Energylandia,Operating,Rocky Mountain Construction,2019,50.0019,19.4031,8/22/2019,Other,75.2,206,3,4,955
956,Candymonium,Hersheypark,Operating,Bolliger & Mabillard,2020,40.2863,-76.659,7/3/2020,Steel,76,,0,,956
957,F.L.Y. (roller coaster),Phantasialand,Operating,Vekoma,2020,50.7999,6.8792,,Steel,48.5,,2,,957
958,Max & Moritz (roller coaster),Efteling,Operating,Mack Rides,2020,51.6481,5.0474,6/20/2020,Steel,22.4,19.7,0,,958
959,Objectif Mars,Futuroscope,Operating,Intamin,2020,46.6718,0.3703,6/13/2020,Steel,34.2,,0,,959
960,Orion (roller coaster),Kings Island,Operating,Bolliger & Mabillard,2020,39.3427,-84.2627,7/2/2020,Steel,91,,0,,960
961,Pitts Special (roller coaster),PowerPark,Operating,Gerstlauer,2020,63.2307,22.8545,6/24/2020,Steel,62.1,142.7,0,4.5,961
962,Sandy's Blasting Bronco,Nickelodeon Universe,Operating,Intamin,2020,40.8056,-74.071,10/1/2020,Steel,47.8,,4,,962
963,Texas Stingray,SeaWorld San Antonio,Operating,Great Coasters International,2020,29.4524,-98.699,2/22/2020,Wood,55,,0,,963
964,Wakala (roller coaster),Bellewaerde,Operating,Gerstlauer,2020,50.849,2.9475,7/1/2020,Steel,31.1,,0,,964
965,West Coast Racers,Six Flags Magic Mountain,Operating,Premier Rides,2020,34.4217,-118.5992,1/9/2020,Steel,55,,4,,965
966,Abyssus,Energylandia,Operating,Vekoma,2021,49.9992,19.4011,7/14/2021,Steel,62.1,,4,4.5,966
967,Dragon Slayer (roller coaster),Adventureland (Iowa),Operating,S&S - Sansei Technologies,2021,41.651,-93.5024,5/29/2021,Steel,34,,0,,967
968,Jersey Devil Coaster,Six Flags Great Adventure,Operating,Rocky Mountain Construction,2021,40.1377,-74.4405,6/13/2021,Steel,58,,3,,968
969,Kondaa,Walibi Belgium,Operating,Intamin,2021,50.6977,4.585,5/8/2021,Steel,70.2,,0,,969
970,Krampus Expédition,Nigloland,Operating,Mack Rides,2021,-48.2617,4.6142,6/12/2021,Steel,49,,0,3.5,970
971,Looping Star (Clacton Pier),Clacton Pier,Operating,Pinfari,2021,51.7864,-1.155,10/23/2021,Steel,,36.1,1,,971
972,Monster (Gr?na Lund),Gr?na Lund,Operating,Bolliger & Mabillard,2021,59.3239,18.0961,6/2/2021,Steel,55.9,,3,4.5,972
973,Steel Taipan,Dreamworld,Under construction,Mack Rides,2021,-27.8623,153.3152,1/1/2021,Steel,65.2,,4,3.8,973
974,Storm Chaser (Paultons Park),Paultons Park,Operating,Mack Rides,2021,50.949,-1.5505,4/12/2021,Steel,,,0,,974
975,Stunt Pilot (roller coaster),Silverwood Theme Park,Operating,Rocky Mountain Construction,2021,47.9065,-116.708,5/29/2021,Steel,52,,3,,975
976,The Ride to Happiness,Plopsaland De Panne,Operating,Mack Rides,2021,51.081,2.5989,7/1/2021,Steel,55.9,,6,,976
977,VelociCoaster,Universal's Islands of Adventure,Operating,Intamin,2021,28.4713,-81.472,6/10/2021,Steel,70,,4,,977
978,Aquaman: Power Wave,Six Flags Over Texas,Under construction,Mack Rides,2022,32.756,-97.071,1/1/2022,Steel,62.1,,0,,978
979,ArieForce One,Fun Spot America Atlanta,Under construction,Rocky Mountain Construction,2022,,,1/1/2022,Steel,64,,4,3.75,979
980,Defiance (roller coaster),Glenwood Caverns Adventure Park,Under construction,Gerstlauer,2022,,,1/1/2022,Steel,56,,2,,980
981,Dr. Diabolical’s Cliffhanger,Six Flags Fiesta Texas,Under construction,Bolliger & Mabillard,2022,,,1/1/2022,Steel,60,,2,,981
982,Emperor (roller coaster),SeaWorld San Diego,Under construction,Bolliger & Mabillard,2022,32.764,-117.2224,3/1/2022,Steel,63,,4,,982
983,F?nix (roller coaster),F?rup Sommerland,Under construction,Vekoma,2022,,,,Steel,59,,3,4.1,983
984,Guardians of the Galaxy: Cosmic Rewind,Epcot,Under construction,Vekoma,2022,,,1/1/2022,Steel,,,0,,984
985,Ice Breaker (roller coaster),SeaWorld Orlando,Under construction,Premier Rides,2022,28.4088,-81.4633,2/1/2022,Steel,52,,0,,985
986,Leviathan (Sea World),Sea World,Under construction,Martin & Vleminckx,2022,-27.9574,153.4263,1/1/2022,Wood,49.7,105,0,,986
987,Pantheon (roller coaster),Busch Gardens Williamsburg,Under construction,Intamin,2022,37.2339,-76.6426,1/1/2022,Steel,73,,2,,987
988,Tumbili,Kings Dominion,Under construction,S&S – Sansei Technologies,2022,,,,Steel,34,,0,,988
989,Wonder Woman Flight of Courage,Six Flags Magic Mountain,Under construction,Rocky Mountain Construction,2022,,,1/1/2022,Steel,58,,3,,989
