,Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Latitude,Longitude,Opening_Date_Clean,Type_Main,Speed_Mph,Height_Ft,Inversions_Clean,Gforce_Clean,No
726,SpongeBob SquarePants Rock Bottom Plunge,Nickelodeon Universe,Operating,Gerstlauer,2008,44.8553,-93.2425,3/15/2008,Steel,43.5,,2,4.4,726
727,Steel Hawg,Indiana Beach,Operating,S&S – Sansei Technologies,2008,40.7909,-86.7718,7/5/2008,Steel,41,,2,,727
728,Steel Lasso,Frontier City,Operating,Chance Morgan,2008,35.5838,-97.4405,7/18/2008,Steel,30,48.9,0,2.2,728
729,T Express,Everland,Operating,Intamin,2008,37.2898,127.2024,3/14/2008,Wood,64.6,183.8,0,,729
730,Tsunami (roller coaster),Other,,Anton Schwarzkopf,2008,,,,Steel,55,,0,,730
731,Apocalypse: The Ride,Six Flags Magic Mountain,Operating,Great Coasters International,2009,34.4213,-118.5998,5/23/2009,Wood,50.1,,0,,731
732,Blue Fire,Europa-Park,Operating,Mack Rides,2009,48.2624,7.7185,4/4/2009,Steel,62,,4,3.8,732
733,Diamondback (Kings Island),Kings Island,Operating,Bolliger & Mabillard,2009,39.3421,-84.2674,4/18/2009,Other,80,,0,4.2,733
734,Diving Coaster,Happy Valley Shanghai,Operating,Bolliger & Mabillard,2009,31.0979,121.209,8/16/2009,Steel,68.4,213.3,1,4,734
735,Escape of Novgorod,Hansa-Park,Operating,Gerstlauer,2009,54.0744,10.7814,4/9/2009,Steel,62.1,131.2,1,4.3,735
736,Falcon (Duinrell),Duinrell,Operating,Gerstlauer,2009,52.1477,4.3792,5/14/2009,Steel,43.5,72.2,3,4.5,736
737,Grover's Alpine Express,Busch Gardens Williamsburg,Operating,Zierer,2009,37.2361,-76.6444,4/3/2009,Steel,26.5,,0,,737
738,Hollywood Rip Ride Rockit,Universal Studios Florida,Operating,Maurer AG,2009,28.4749,-81.4683,8/19/2009,Steel,65,,0,4.18,738
739,Hornet (roller coaster),Other,,Vekoma,2009,,,,Steel,,,0,,739
740,Insane (Gr?na Lund),Gr?na Lund,Operating,Intamin,2009,59.3233,18.0953,4/25/2009,Steel,37.3,116.5,0,3.5,740
741,ISpeed,Mirabilandia,Operating,Intamin,2009,,,5/20/2009,Steel,74.6,,2,,741
742,Kozmo's Kurves,"Elysburg, Pennsylvania, United States",,,2009,40.879,-76.505,,Other,,,0,,742
743,Manta (SeaWorld Orlando),SeaWorld Orlando,Operating,Bolliger & Mabillard,2009,28.4119,-81.4617,5/22/2009,Steel,56,,4,3.7,743
744,Mumbo Jumbo (roller coaster),Flamingo Land Resort,Operating,S&S – Sansei Technologies,2009,54.209,-0.808,7/4/2009,Steel,41,,2,3,744
745,Prowler (roller coaster),Worlds of Fun,Operating,Great Coasters International,2009,39.1744,-94.4837,5/2/2009,Wood,51.2,,0,,745
746,Saw – The Ride,Thorpe Park,Operating,Gerstlauer,2009,51.4026,-0.5119,3/14/2009,Steel,55,,3,,746
747,Teststrecke,Other,,Anton Schwarzkopf,2009,,,,Steel,52,,2,,747
748,The Flying Cobras,Other,,Vekoma,2009,,,,Steel,47,,6,5.2,748
749,El Toro (Freizeitpark Plohn),Freizeitpark Plohn,Operating,Great Coasters International,2009,50.566,12.401,4/10/2009,Wood,45.6,80.4,0,,749
750,Tranan,Skara Sommarland,Operating,S&S – Sansei Technologies,2009,58.41,13.55,5/29/2009,Steel,24.9,,0,2.5,750
751,Wooden Coaster - Fireball,Happy Valley Shanghai,Operating,Martin & Vleminckx,2009,31.0987,121.214,8/16/2009,Wood,56,,0,,751
752,Air Grover,"Tampa, Florida, U.S.",Operating,,2010,28.0379,-82.4216,,Other,,,0,,752
753,Battlestar Galactica (roller coaster),Other,Operating,Vekoma,2010,1.2541,103.8223,3/18/2010,Steel,51,,5,,753
754,Canopy Flyer,Universal Studios Singapore,Operating,Setpoint Inc.,2010,1.2534,103.824,3/18/2010,Steel,,,0,,754
755,Edn?r – L'Attaque,Other,,Vekoma,2010,,,,Steel,49.7,,5,3.1,755
756,Enchanted Airways,Universal Studios Singapore,Operating,Vekoma,2010,1.255,103.8222,3/18/2010,Steel,28.5,42.7,0,,756
757,Fiorano GT Challenge,Other,Operating,Maurer AG,2010,24.4864,54.6042,11/4/2010,Steel,59,,0,1.5,757
758,Formula Rossa,Ferrari World Abu Dhabi,Operating,Intamin,2010,24.4842,54.6124,11/4/2010,Steel,149.1,170.6,0,4.8,758
759,Huracan (Belantis),Belantis,Operating,Gerstlauer,2010,51.2531,12.3125,6/26/2010,Steel,52.8,105,5,4.3,759
760,Intimidator (roller coaster),Carowinds,Operating,Bolliger & Mabillard,2010,35.1031,-80.9394,3/27/2010,Steel,75,,0,4.3,760
761,Intimidator 305,Kings Dominion,Operating,Intamin,2010,37.8375,-77.4397,4/2/2010,Steel,90,,0,,761
762,Joris en de Draak,Other,Operating,Great Coasters International,2010,51.6469,5.0525,7/1/2010,Wood,46.6,82,0,,762
763,The Monster (Walygator Parc),Other,,Bolliger & Mabillard,2010,49.2299,6.1581,,Steel,55.9,,6,,763
764,RC Racer,Other,,Intamin,2010,,,,Steel,,82,0,,764
